feature,cell_type,overweight_vs_normal_mean,overweight_vs_normal_hdi_low,overweight_vs_normal_hdi_high,overweight_vs_normal_prob_positive,overweight_vs_normal_prob_sig,obese_vs_normal_mean,obese_vs_normal_hdi_low,obese_vs_normal_hdi_high,obese_vs_normal_prob_positive,obese_vs_normal_prob_sig,obese_vs_overweight_mean,obese_vs_overweight_hdi_low,obese_vs_overweight_hdi_high,obese_vs_overweight_prob_positive,obese_vs_overweight_prob_sig,overweight_prob_gt_0.1,overweight_prob_gt_0.2,overweight_prob_gt_0.3,overweight_prob_gt_0.5,obese_prob_gt_0.1,obese_prob_gt_0.2,obese_prob_gt_0.3,obese_prob_gt_0.5,obese_vs_overweight_prob_gt_0.1,obese_vs_overweight_prob_gt_0.2,obese_vs_overweight_prob_gt_0.3,obese_vs_overweight_prob_gt_0.5,overweight_evidence_medium,overweight_evidence_large,obese_evidence_medium,obese_evidence_large,obese_vs_overweight_evidence_medium,obese_vs_overweight_evidence_large,overweight_credible,obese_credible,obese_vs_overweight_credible,overweight_direction,obese_direction,obese_vs_overweight_direction,overweight_credible_rope,obese_credible_rope,obese_vs_overweight_credible_rope
BASOPHILS||Histamine_Signature,BASOPHILS,0.074,0.001,0.158,0.979875,0.20725,-0.022,-0.117,0.066,0.296,0.053125,-0.096,-0.211,0.015,0.0355,0.45325,0.20725,0.00675,0.000125,0.0,0.053125,0.001875,0.00025,0.0,0.45325,0.04075,0.002,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,True,False,False,up,none,none,False,False,False
BASOPHILS||Immunosenescence_Signature,BASOPHILS,0.067,-0.011,0.143,0.961375,0.167125,-0.016,-0.107,0.082,0.339,0.0455,-0.083,-0.192,0.032,0.069,0.375875,0.167125,0.00175,0.0,0.0,0.0455,0.001125,0.0,0.0,0.375875,0.018,0.000375,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
BASOPHILS||Inflammatory_Mediator_Signature,BASOPHILS,0.051,-0.037,0.127,0.894375,0.089125,-0.022,-0.117,0.07,0.3025,0.053,-0.073,-0.188,0.043,0.0945,0.3165,0.089125,0.000125,0.0,0.0,0.053,0.00175,0.0,0.0,0.3165,0.013375,0.000375,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
BASOPHILS||Inflammatory_Response_Signature,BASOPHILS,0.051,-0.035,0.124,0.897125,0.079875,-0.018,-0.11,0.074,0.323875,0.044625,-0.069,-0.177,0.046,0.10675,0.29225,0.079875,0.000625,0.0,0.0,0.044625,0.001125,0.0,0.0,0.29225,0.00875,0.0,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
BASOPHILS||Insulin_Resistance_Signaling_Signature,BASOPHILS,0.068,-0.009,0.144,0.967125,0.158125,-0.023,-0.116,0.071,0.3025,0.05525,-0.09,-0.198,0.023,0.048625,0.411875,0.158125,0.00375,0.000125,0.0,0.05525,0.00175,0.000125,0.0,0.411875,0.027125,0.001625,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
BASOPHILS||Lineage_Program_Signature,BASOPHILS,0.064,-0.015,0.144,0.949875,0.144125,-0.019,-0.112,0.071,0.32025,0.04525,-0.082,-0.188,0.031,0.065875,0.366875,0.144125,0.002375,0.0,0.0,0.04525,0.001,0.000125,0.0,0.366875,0.018125,0.000625,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
BASOPHILS||Lipid_Mediator_Signature,BASOPHILS,0.071,-0.003,0.154,0.9725,0.19275,-0.022,-0.11,0.075,0.297625,0.052125,-0.093,-0.212,0.015,0.04375,0.429625,0.19275,0.00525,0.00025,0.0,0.052125,0.000625,0.0,0.0,0.429625,0.035,0.0015,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
BASOPHILS||Lipid_Metabolism_Signature,BASOPHILS,0.082,0.007,0.179,0.988,0.267875,-0.023,-0.114,0.072,0.290625,0.05325,-0.105,-0.224,0.012,0.029625,0.51425,0.267875,0.016625,0.00075,0.0,0.05325,0.00225,0.0,0.0,0.51425,0.058,0.00375,0.000125,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,True,False,False,up,none,none,False,False,False
BASOPHILS||Microbiome_Response_Signature,BASOPHILS,0.055,-0.029,0.13,0.91475,0.100625,-0.024,-0.121,0.064,0.278375,0.0605,-0.08,-0.189,0.035,0.074875,0.343875,0.100625,0.0005,0.0,0.0,0.0605,0.001625,0.0,0.0,0.343875,0.01825,0.001,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
BASOPHILS||Migration_Signature,BASOPHILS,0.062,-0.02,0.141,0.944875,0.14,-0.019,-0.114,0.071,0.315125,0.048375,-0.082,-0.196,0.026,0.06825,0.36425,0.14,0.00125,0.0,0.0,0.048375,0.0015,0.0,0.0,0.36425,0.017125,0.000375,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
BASOPHILS||Mitochondrial_Function_Signature,BASOPHILS,0.079,0.003,0.171,0.983625,0.247875,-0.024,-0.116,0.069,0.286625,0.052375,-0.103,-0.222,0.005,0.02825,0.49625,0.247875,0.011125,0.000125,0.0,0.052375,0.001,0.0,0.0,0.49625,0.048625,0.003,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,True,False,False,up,none,none,False,False,False
BASOPHILS||Protease_Release_Activity_Signature,BASOPHILS,0.065,-0.012,0.143,0.9545,0.154875,-0.018,-0.104,0.08,0.325375,0.04475,-0.083,-0.192,0.027,0.065875,0.370375,0.154875,0.003125,0.0,0.0,0.04475,0.001,0.0,0.0,0.370375,0.019125,0.000375,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
BASOPHILS||Senescence_Signature,BASOPHILS,0.063,-0.02,0.139,0.94875,0.13825,-0.023,-0.115,0.071,0.292875,0.051875,-0.086,-0.195,0.027,0.05975,0.390125,0.13825,0.00175,0.0,0.0,0.051875,0.002125,0.000125,0.0,0.390125,0.022375,0.000625,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
BASOPHILS||Surface_Receptor_Expression_Signature,BASOPHILS,0.063,-0.021,0.137,0.944875,0.14075,-0.02,-0.113,0.073,0.320125,0.048125,-0.082,-0.189,0.03,0.065875,0.364375,0.14075,0.001125,0.0,0.0,0.048125,0.001375,0.000125,0.0,0.364375,0.019375,0.00125,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
BASOPHILS||Type2_Cytokine_Expression_Signature,BASOPHILS,0.055,-0.027,0.131,0.92,0.09975,-0.012,-0.101,0.089,0.36425,0.044125,-0.067,-0.176,0.053,0.11475,0.28525,0.09975,0.000625,0.0,0.0,0.044125,0.00125,0.0,0.0,0.28525,0.00775,0.000125,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
B_CELLS_NAIVE||Activation_Signature,B CELLS NAIVE,0.256,0.172,0.339,1.0,0.996375,0.259,0.157,0.373,1.0,0.998,0.003,-0.121,0.131,0.5005,0.10775,0.996375,0.910875,0.125625,0.0,0.998,0.8825,0.198875,0.00075,0.10775,0.004875,0.00025,0.0,Moderate,Negligible,Moderate,Negligible,Negligible,Negligible,True,True,False,up,up,none,False,False,False
B_CELLS_NAIVE||Autophagy_Regulation_Signature,B CELLS NAIVE,0.273,0.195,0.355,1.0,0.999625,0.255,0.141,0.359,1.0,0.994375,-0.018,-0.141,0.105,0.373375,0.111625,0.999625,0.97075,0.2205,0.000125,0.994375,0.87075,0.178,0.000375,0.111625,0.0055,0.000125,0.0,Strong,Negligible,Moderate,Negligible,Negligible,Negligible,True,True,False,up,up,none,True,False,False
B_CELLS_NAIVE||Cell_Proliferation_Signature,B CELLS NAIVE,0.277,0.197,0.364,1.0,0.99975,0.246,0.133,0.352,0.99875,0.9885,-0.031,-0.158,0.094,0.310375,0.138,0.99975,0.976125,0.25475,0.00025,0.9885,0.821875,0.144125,0.0,0.138,0.010875,0.000625,0.0,Strong,Negligible,Moderate,Negligible,Negligible,Negligible,True,True,False,up,up,none,True,False,False
B_CELLS_NAIVE||Fatty_Acid_Oxidation_Signature,B CELLS NAIVE,0.273,0.193,0.356,1.0,0.999875,0.255,0.151,0.366,0.999875,0.99525,-0.018,-0.143,0.104,0.37325,0.112625,0.999875,0.970875,0.229125,0.00025,0.99525,0.868625,0.174375,0.000125,0.112625,0.003875,0.000125,0.0,Strong,Negligible,Moderate,Negligible,Negligible,Negligible,True,True,False,up,up,none,True,False,False
B_CELLS_NAIVE||Glycolysis_Signature,B CELLS NAIVE,0.266,0.184,0.342,1.0,0.999625,0.259,0.15,0.364,1.0,0.997125,-0.007,-0.129,0.115,0.432375,0.102,0.999625,0.950875,0.174375,0.0,0.997125,0.88175,0.198625,0.000625,0.102,0.00425,0.000125,0.0,Strong,Negligible,Moderate,Negligible,Negligible,Negligible,True,True,False,up,up,none,True,False,False
B_CELLS_NAIVE||Hedgehog_Signaling_Signature,B CELLS NAIVE,0.267,0.19,0.349,1.0,0.999375,0.253,0.15,0.365,0.99975,0.9945,-0.014,-0.142,0.103,0.399125,0.10425,0.999375,0.956875,0.1785,0.0,0.9945,0.857,0.1695,0.00025,0.10425,0.0055,0.000125,0.0,Strong,Negligible,Moderate,Negligible,Negligible,Negligible,True,True,False,up,up,none,True,False,False
B_CELLS_NAIVE||Hypoxia_Response_Signature,B CELLS NAIVE,0.259,0.177,0.339,1.0,0.998375,0.265,0.163,0.383,0.999875,0.998625,0.006,-0.115,0.136,0.51475,0.110125,0.998375,0.923875,0.132875,0.0,0.998625,0.90525,0.228375,0.001375,0.110125,0.00725,0.00025,0.0,Moderate,Negligible,Moderate,Negligible,Negligible,Negligible,True,True,False,up,up,none,False,False,False
B_CELLS_NAIVE||Lipid_Metabolism_Signature,B CELLS NAIVE,0.275,0.195,0.359,1.0,0.999625,0.248,0.139,0.354,0.9995,0.99175,-0.027,-0.15,0.093,0.32575,0.123375,0.999625,0.973875,0.229375,0.000375,0.99175,0.840375,0.151,0.0,0.123375,0.008125,0.000375,0.0,Strong,Negligible,Moderate,Negligible,Negligible,Negligible,True,True,False,up,up,none,True,False,False
B_CELLS_NAIVE||MAPK_Signaling_Signature,B CELLS NAIVE,0.271,0.191,0.352,1.0,0.9995,0.254,0.147,0.361,0.999625,0.995375,-0.017,-0.136,0.107,0.3825,0.105875,0.9995,0.962625,0.204875,0.0,0.995375,0.86225,0.177,0.0005,0.105875,0.004375,0.000375,0.0,Strong,Negligible,Moderate,Negligible,Negligible,Negligible,True,True,False,up,up,none,True,False,False
B_CELLS_NAIVE||NF_kB_Signaling_Signature,B CELLS NAIVE,0.267,0.186,0.347,1.0,0.999125,0.254,0.146,0.363,0.999875,0.99475,-0.013,-0.142,0.104,0.402875,0.108,0.999125,0.953125,0.183625,0.0,0.99475,0.864625,0.17825,0.000625,0.108,0.006,0.000125,0.0,Strong,Negligible,Moderate,Negligible,Negligible,Negligible,True,True,False,up,up,none,True,False,False
B_CELLS_NAIVE||Naive_B_Cell_Identity_Signature,B CELLS NAIVE,0.259,0.175,0.341,1.0,0.997875,0.249,0.135,0.355,0.999625,0.99225,-0.01,-0.135,0.114,0.424625,0.107375,0.997875,0.925875,0.1375,0.0,0.99225,0.843875,0.153625,0.000125,0.107375,0.004875,0.000125,0.0,Moderate,Negligible,Moderate,Negligible,Negligible,Negligible,True,True,False,up,up,none,False,False,False
B_CELLS_NAIVE||Notch_Signaling_Signature,B CELLS NAIVE,0.271,0.195,0.357,1.0,0.999875,0.248,0.141,0.358,0.999125,0.9905,-0.022,-0.14,0.107,0.353875,0.12,0.999875,0.965625,0.20725,0.000125,0.9905,0.835625,0.15225,0.000375,0.12,0.007125,0.000875,0.0,Strong,Negligible,Moderate,Negligible,Negligible,Negligible,True,True,False,up,up,none,True,False,False
B_CELLS_NAIVE||OXPHOS_Metabolism_Signature,B CELLS NAIVE,0.273,0.193,0.358,1.0,0.999875,0.254,0.15,0.367,0.99975,0.994625,-0.019,-0.143,0.109,0.371625,0.119125,0.999875,0.97075,0.220625,0.0,0.994625,0.86325,0.176,0.0005,0.119125,0.0065,0.000375,0.0,Strong,Negligible,Moderate,Negligible,Negligible,Negligible,True,True,False,up,up,none,True,False,False
B_CELLS_NAIVE||Oxidative_Stress_Response_Signature,B CELLS NAIVE,0.271,0.196,0.354,1.0,0.999875,0.255,0.149,0.363,0.999875,0.996125,-0.015,-0.144,0.101,0.384375,0.101875,0.999875,0.968875,0.199875,0.000375,0.996125,0.866375,0.183875,0.000125,0.101875,0.005875,0.000375,0.0,Strong,Negligible,Moderate,Negligible,Negligible,Negligible,True,True,False,up,up,none,True,False,False
B_CELLS_NAIVE||TGF_Beta_Signaling_Signature,B CELLS NAIVE,0.265,0.182,0.343,1.0,0.999,0.249,0.138,0.355,0.9995,0.992375,-0.016,-0.135,0.111,0.383375,0.1095,0.999,0.950875,0.175125,0.0,0.992375,0.842125,0.152875,0.000125,0.1095,0.005625,0.00025,0.0,Strong,Negligible,Moderate,Negligible,Negligible,Negligible,True,True,False,up,up,none,True,False,False
B_CELLS_NAIVE||Type_I_Interferon_Response_Signature,B CELLS NAIVE,0.255,0.167,0.334,0.999875,0.9965,0.238,0.126,0.352,0.998,0.979375,-0.017,-0.155,0.113,0.391625,0.1305,0.9965,0.908,0.11775,0.0,0.979375,0.782875,0.11725,0.0,0.1305,0.011,0.001,0.0,Moderate,Negligible,Weak,Negligible,Negligible,Negligible,True,True,False,up,up,none,False,False,False
B_CELLS_NAIVE||mTOR_Signaling_Signature,B CELLS NAIVE,0.272,0.194,0.355,1.0,0.999625,0.251,0.138,0.351,0.99975,0.994625,-0.021,-0.148,0.092,0.358625,0.112125,0.999625,0.966375,0.2145,0.0,0.994625,0.844875,0.158625,0.0005,0.112125,0.00575,0.000375,0.0,Strong,Negligible,Moderate,Negligible,Negligible,Negligible,True,True,False,up,up,none,True,False,False
B_CELLS_NAIVE||p53_Pathway_Signature,B CELLS NAIVE,0.268,0.189,0.352,1.0,0.9995,0.253,0.15,0.362,0.999625,0.994875,-0.016,-0.135,0.111,0.395125,0.110875,0.9995,0.9575,0.1905,0.000125,0.994875,0.856875,0.167625,0.00025,0.110875,0.005625,0.000125,0.0,Strong,Negligible,Moderate,Negligible,Negligible,Negligible,True,True,False,up,up,none,True,False,False
B_CELLS||Cytokine_Network_Signature,B CELLS,0.108,-0.024,0.223,0.953125,0.583375,0.109,-0.046,0.273,0.9245,0.55025,0.001,-0.182,0.175,0.495125,0.24275,0.583375,0.053375,0.0015,0.0,0.55025,0.11325,0.01225,0.0,0.24275,0.032625,0.00275,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
B_CELLS||Fibrosis_Interaction_Signature,B CELLS,0.123,0.0,0.24,0.979,0.658625,0.094,-0.067,0.255,0.885875,0.495875,-0.029,-0.213,0.141,0.37225,0.272875,0.658625,0.08625,0.004375,0.0,0.495875,0.084875,0.006125,0.0,0.272875,0.04025,0.004375,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
B_CELLS||Immunoglobulin_Production_Signature,B CELLS,0.109,-0.015,0.224,0.957375,0.5835,0.1,-0.057,0.258,0.90725,0.508625,-0.009,-0.188,0.166,0.449875,0.246375,0.5835,0.051375,0.00125,0.0,0.508625,0.09225,0.00825,0.0,0.246375,0.031,0.00275,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
B_CELLS||Immunosenescence_Signature,B CELLS,0.116,0.001,0.241,0.9695,0.6175,0.112,-0.048,0.276,0.927875,0.554375,-0.003,-0.179,0.174,0.47725,0.2515,0.6175,0.069375,0.002625,0.0,0.554375,0.12725,0.01875,0.00025,0.2515,0.03,0.002375,0.000125,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,True,False,False,up,none,none,False,False,False
B_CELLS||Immunosuppression_Signature,B CELLS,0.127,0.005,0.24,0.985625,0.679125,0.105,-0.062,0.256,0.918625,0.52925,-0.022,-0.203,0.16,0.402,0.263125,0.679125,0.098125,0.00575,0.0,0.52925,0.108625,0.01275,0.000125,0.263125,0.038,0.00375,0.00025,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,True,False,False,up,none,none,False,False,False
B_CELLS||Inflammatory_Response_Signature,B CELLS,0.114,-0.01,0.227,0.96925,0.605,0.107,-0.057,0.26,0.91825,0.539,-0.007,-0.188,0.171,0.461125,0.2465,0.605,0.06625,0.003125,0.0,0.539,0.113875,0.01325,0.0,0.2465,0.032375,0.003125,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
B_CELLS||Mitochondrial_Function_Signature,B CELLS,0.143,0.026,0.278,0.993625,0.7515,0.094,-0.074,0.25,0.88475,0.48975,-0.048,-0.234,0.134,0.301625,0.316875,0.7515,0.164375,0.019125,0.0,0.48975,0.084625,0.00725,0.0,0.316875,0.0615,0.0085,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,True,False,False,up,none,none,False,False,False
CD4+ T CELLS||ECM_Remodeling_Signature,CD4+ T CELLS,-0.012,-0.2,0.188,0.449125,0.3175,-0.058,-0.336,0.184,0.335875,0.4815,-0.045,-0.324,0.237,0.37125,0.497,0.3175,0.044625,0.004125,0.0,0.4815,0.163625,0.039,0.001,0.497,0.174375,0.045875,0.0005,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
CD4_TFH||Costimulation_Signature,CD4 TFH,0.075,-0.104,0.246,0.80975,0.405875,0.01,-0.222,0.244,0.536875,0.381875,-0.065,-0.303,0.196,0.3025,0.48,0.405875,0.08225,0.0075,0.0,0.381875,0.093875,0.0155,0.000125,0.48,0.160375,0.03475,0.00075,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
CD4_TFH||Microbiome_Response_Signature,CD4 TFH,0.067,-0.119,0.233,0.778875,0.385375,0.011,-0.213,0.257,0.5395,0.383875,-0.056,-0.299,0.198,0.328875,0.46775,0.385375,0.068125,0.00475,0.0,0.383875,0.092875,0.014375,0.0,0.46775,0.147,0.029875,0.000625,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
CD4_T_NAIVE||Activation_Signature,CD4 T NAIVE,0.023,-0.031,0.083,0.810375,0.0095,0.003,-0.077,0.084,0.535125,0.02225,-0.02,-0.111,0.069,0.318125,0.0445,0.0095,0.0,0.0,0.0,0.02225,0.000375,0.0,0.0,0.0445,0.001125,0.0,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
CD4_T_NAIVE||Adipokine_Signaling_Signature,CD4 T NAIVE,0.023,-0.032,0.083,0.811625,0.009625,0.006,-0.075,0.089,0.555375,0.02525,-0.017,-0.107,0.073,0.332625,0.042125,0.009625,0.000375,0.0,0.0,0.02525,0.000375,0.0,0.0,0.042125,0.0005,0.0,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
CD4_T_NAIVE||Anergy_Signature,CD4 T NAIVE,0.02,-0.038,0.076,0.787625,0.006125,0.005,-0.069,0.087,0.5525,0.021,-0.015,-0.105,0.072,0.357125,0.036875,0.006125,0.0,0.0,0.0,0.021,0.000375,0.0,0.0,0.036875,0.000375,0.0,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
CD4_T_NAIVE||Apoptosis_Regulation_Signature,CD4 T NAIVE,0.022,-0.033,0.08,0.803,0.00825,0.003,-0.078,0.079,0.537625,0.018,-0.019,-0.111,0.067,0.321625,0.044125,0.00825,0.0,0.0,0.0,0.018,0.000125,0.0,0.0,0.044125,0.000625,0.0,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
CD4_T_NAIVE||Autophagy_Regulation_Signature,CD4 T NAIVE,0.022,-0.034,0.079,0.80125,0.010875,0.005,-0.08,0.08,0.55225,0.023375,-0.017,-0.112,0.069,0.331125,0.041375,0.010875,0.000125,0.0,0.0,0.023375,0.00025,0.0,0.0,0.041375,0.000875,0.0,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
CD4_T_NAIVE||CD4_Naive_Identity_Signature,CD4 T NAIVE,0.019,-0.037,0.077,0.773125,0.004875,0.008,-0.071,0.085,0.57825,0.02375,-0.01,-0.098,0.08,0.38725,0.0345,0.004875,0.0,0.0,0.0,0.02375,0.000875,0.0,0.0,0.0345,0.00125,0.0,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
CD4_T_NAIVE||Cell_Proliferation_Signature,CD4 T NAIVE,0.022,-0.03,0.08,0.810125,0.006875,0.001,-0.077,0.077,0.5245,0.017875,-0.021,-0.106,0.068,0.304125,0.041,0.006875,0.0,0.0,0.0,0.017875,0.00025,0.0,0.0,0.041,0.0005,0.0,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
CD4_T_NAIVE||Complement_Activation_Signature,CD4 T NAIVE,0.022,-0.033,0.078,0.80775,0.008,0.003,-0.078,0.077,0.53075,0.01925,-0.02,-0.104,0.073,0.307875,0.044,0.008,0.000125,0.0,0.0,0.01925,0.00025,0.0,0.0,0.044,0.001125,0.0,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
CD4_T_NAIVE||DNA_Repair_Signature,CD4 T NAIVE,0.025,-0.03,0.086,0.8225,0.014375,0.002,-0.077,0.081,0.5295,0.021875,-0.023,-0.122,0.06,0.29,0.054125,0.014375,0.0,0.0,0.0,0.021875,0.000375,0.0,0.0,0.054125,0.001375,0.0,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
